initial_domain,reason
bcgcfm5.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
billablesoftware.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
cmm-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
correlogo.abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
correlogo.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
crtpfm1.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
crtpfm2.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
cylofold.abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
cylofold.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
david-abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
david.abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
electron-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
ezlib.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-bsg-avia-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-bsg-bdb-1.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-bsg-bioi-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-bsg-hgi-0.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-bsg-pbrw-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-ccr-dweb-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-ccr-gbnc-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-crs-bnkly-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-cs-ezproxy.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-david-wp.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-swpg-cpr-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-swpg-nonb-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-swpg-stp-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fr-s-sysbio-p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
fsswpl-dctda01p.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
gbnci-abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
gbnci.abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
knetfold.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
lgdfm1.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
lgdfm2.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
lgdfm3.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
lgdfm5.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
library.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
login.ezlib.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
matchfold.abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
matchfold.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
mcl1.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
mouse.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
ncifcrf.gov,all scans failed dns resolution for 6 months in a row
ncifrederick-cancer-gov.ezlib.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
nih.gov.ezlib.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
npsg.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
pbrowse3-abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
pbrowse3.abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
pubmed-ncbi-nlm-nih-gov.ezlib.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
redrecombineering.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
rnajunction.abcc.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
rnajunction.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
search.nih.gov.ezlib.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
training.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
web.ncifcrf.gov,all scans failed dns resolution for 6 months in a row
mastercalendar.ncirc.gov,all scans failed dns resolution for 6 months in a row
search.ncjrs.gov,all scans failed dns resolution for 6 months in a row
wcms.ncjrs.gov,all scans failed dns resolution for 6 months in a row
webcontact.ncjrs.gov,all scans failed dns resolution for 6 months in a row
ncmms.gov,all scans failed dns resolution for 6 months in a row
devcuol.ncua.gov,all scans failed dns resolution for 6 months in a row
sip.ncua.gov,all scans failed dns resolution for 6 months in a row
gnweb03.nersc.gov,all scans failed dns resolution for 6 months in a row
portal-auth.nersc.gov,all scans failed dns resolution for 6 months in a row
registry.services.nersc.gov,all scans failed dns resolution for 6 months in a row
registry.spin.nersc.gov,all scans failed dns resolution for 6 months in a row
newmoney.gov,all scans failed dns resolution for 6 months in a row
hvedata.nhtsa.gov,all scans failed dns resolution for 6 months in a row
icsodiw.nhtsa.gov,all scans failed dns resolution for 6 months in a row
nhtsa.dr.del1.nhtsa.gov,all scans failed dns resolution for 6 months in a row
nhtsa.dr.del2.nhtsa.gov,all scans failed dns resolution for 6 months in a row
safercar.dr.del1.nhtsa.gov,all scans failed dns resolution for 6 months in a row
safercar.dr.del2.nhtsa.gov,all scans failed dns resolution for 6 months in a row
skynet.nhtsa.gov,all scans failed dns resolution for 6 months in a row
stg-api.nhtsa.gov,all scans failed dns resolution for 6 months in a row
vpicpub.nhtsa.gov,all scans failed dns resolution for 6 months in a row
ifpm.nifc.gov,all scans failed dns resolution for 6 months in a row
predictiveservices.nifc.gov,all scans failed dns resolution for 6 months in a row
3dvcell.ncbi.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
4dmap-api.ncats.nih.gov,all scans failed dns resolution for 6 months in a row
4dmap.ncats.nih.gov,all scans failed dns resolution for 6 months in a row
58000.nih.gov,all scans failed dns resolution for 6 months in a row
abs.cit.nih.gov,all scans failed dns resolution for 6 months in a row
accessgudid.wip.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
aci.nichd.nih.gov,all scans failed dns resolution for 6 months in a row
admintool.umatch-int.nci.nih.gov,all scans failed dns resolution for 6 months in a row
admintool.umatch.nci.nih.gov,all scans failed dns resolution for 6 months in a row
ahcs.ninds.nih.gov,all scans failed dns resolution for 6 months in a row
ai-aspshr.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ai-biscasperaprd1.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ai-biscdatasubprd1.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ai-cardprd1.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
aidsinfo-api.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
aidsinfo.nih.gov,all scans failed dns resolution for 6 months in a row
aids.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
ai-heteroprd1.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ai-lpvroprd1.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ai-lpvroqa1.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ai-sccmdmzprd1.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ai-spowaprd1.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ai-trackhubprd1.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ambismobile.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ambismobileqa.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
ambsurvey.nichd.nih.gov,all scans failed dns resolution for 6 months in a row
amdsystemsbiology.nei.nih.gov,all scans failed dns resolution for 6 months in a row
americanindianhealth.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
animalcare.nichd.nih.gov,all scans failed dns resolution for 6 months in a row
apps3tst.niehs.nih.gov,all scans failed dns resolution for 6 months in a row
apps.niehs.nih.gov,all scans failed dns resolution for 6 months in a row
apps.wip.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
aptamers.ncbi.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
aracreview.niaid.nih.gov,all scans failed dns resolution for 6 months in a row
arctichealth.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
askmedline.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
ave.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
babelmesh.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
bars.irp.nia.nih.gov,all scans failed dns resolution for 6 months in a row
bcbcore.nhlbi.nih.gov,all scans failed dns resolution for 6 months in a row
beta-chem.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
beta-druginfo.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
beta-fdasis.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
betterdiabetescare.nih.gov,all scans failed dns resolution for 6 months in a row
bfrepo.nci.nih.gov,all scans failed dns resolution for 6 months in a row
biennialreport.nih.gov,all scans failed dns resolution for 6 months in a row
binding.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
bioinformatics.nhlbi.nih.gov,all scans failed dns resolution for 6 months in a row
biomarkers.fnih.nih.gov,all scans failed dns resolution for 6 months in a row
biomarkers-fsmd.nichd.nih.gov,all scans failed dns resolution for 6 months in a row
biomarkers.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
bioviz.nichd.nih.gov,all scans failed dns resolution for 6 months in a row
biowebprod02.nhgri.nih.gov,all scans failed dns resolution for 6 months in a row
birss.cit.nih.gov,all scans failed dns resolution for 6 months in a row
bisti.nih.gov,all scans failed dns resolution for 6 months in a row
blog.ninds.nih.gov,all scans failed dns resolution for 6 months in a row
bloodbank.nih.gov,all scans failed dns resolution for 6 months in a row
bodyweightandpuberty.niehs.nih.gov,all scans failed dns resolution for 6 months in a row
bookmarker.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
bowelcontrol.nih.gov,all scans failed dns resolution for 6 months in a row
braingutstudy.ninr.nih.gov,all scans failed dns resolution for 6 months in a row
brainhealth.nia.nih.gov,all scans failed dns resolution for 6 months in a row
brainonpain.ctss.nih.gov,all scans failed dns resolution for 6 months in a row
breakitup.nichd.nih.gov,all scans failed dns resolution for 6 months in a row
brics-guid.cit.nih.gov,all scans failed dns resolution for 6 months in a row
bscdev.nidcd.nih.gov,all scans failed dns resolution for 6 months in a row
bwps.niehs.nih.gov,all scans failed dns resolution for 6 months in a row
cabioapi.nci.nih.gov,all scans failed dns resolution for 6 months in a row
cabio.nci.nih.gov,all scans failed dns resolution for 6 months in a row
cadsrapi.nci.nih.gov,all scans failed dns resolution for 6 months in a row
cadsrpasswordchange.nci.nih.gov,all scans failed dns resolution for 6 months in a row
caintegrator2.nci.nih.gov,all scans failed dns resolution for 6 months in a row
caintegrator-info.nci.nih.gov,all scans failed dns resolution for 6 months in a row
caintegrator-secure-prod.nci.nih.gov,all scans failed dns resolution for 6 months in a row
camp.nci.nih.gov,all scans failed dns resolution for 6 months in a row
cananolab-sg.ha.nci.nih.gov,all scans failed dns resolution for 6 months in a row
can.ncats.nih.gov,all scans failed dns resolution for 6 months in a row
carbo.niddk.nih.gov,all scans failed dns resolution for 6 months in a row
carefree.niehs.nih.gov,all scans failed dns resolution for 6 months in a row
casper.cc.nih.gov,all scans failed dns resolution for 6 months in a row
catalog.niddk.nih.gov,all scans failed dns resolution for 6 months in a row
cbiit.nci.nih.gov,all scans failed dns resolution for 6 months in a row
cbmp.nichd.nih.gov,all scans failed dns resolution for 6 months in a row
ccapps.cc.nih.gov,all scans failed dns resolution for 6 months in a row
ccocrtmeappsprd.cc.nih.gov,all scans failed dns resolution for 6 months in a row
cc-web.cc.nih.gov,all scans failed dns resolution for 6 months in a row
cdecurate-sg.nci.nih.gov,all scans failed dns resolution for 6 months in a row
cde.wip.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
cehtaskforce.niehs.nih.gov,all scans failed dns resolution for 6 months in a row
cehtf.niehs.nih.gov,all scans failed dns resolution for 6 months in a row
celiac.nih.gov,all scans failed dns resolution for 6 months in a row
chat.nimh.nih.gov,all scans failed dns resolution for 6 months in a row
chemid.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
chemm.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
chemm.wip.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
chem.sis.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
chem.wip.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
chia.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
chi.nhlbi.nih.gov,all scans failed dns resolution for 6 months in a row
chtn.nci.nih.gov,all scans failed dns resolution for 6 months in a row
cisdecoder.ninds.nih.gov,all scans failed dns resolution for 6 months in a row
cispatterns.ninds.nih.gov,all scans failed dns resolution for 6 months in a row
citaltcem2.nih.gov,all scans failed dns resolution for 6 months in a row
citdcbmipav.cit.nih.gov,all scans failed dns resolution for 6 months in a row
clinprsqa.ncbi.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
clint13.be-md.ncbi.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
cmm.cit.nih.gov,all scans failed dns resolution for 6 months in a row
cnrm-dr.nih.gov,all scans failed dns resolution for 6 months in a row
cnsirb.ninds.nih.gov,all scans failed dns resolution for 6 months in a row
coc.od.nih.gov,all scans failed dns resolution for 6 months in a row
collections.wip.nlm.nih.gov,all scans failed dns resolution for 6 months in a row
